,date,likes,retweets,tweet,tweet_id
47,2020-10-03 11:30:00,18897.0,2884.0,"The effort to build a more just society implies the capacity of fraternity, a spirit of human communion. #SeasonOfCreation #FratelliTutti",1312354208973111298
48,2020-09-27 10:19:40,10877.0,1850.0,"We see the face of Jesus in the faces of the hungry, the thirsty, the naked, the sick, strangers and prisoners; Christ calls us to help. #WDMR2020 #DisplacedlikeJesus @M_RSection https://t.co/ir1lVA2zZp",1310162182525591552
49,2020-09-18 11:30:00,29738.0,5065.0,"Everyone is important in God’s eyes, everyone can transform a part of the world polluted by human voracity into the good reality willed by the Creator. #SeasonOfCreation",1306918390146109444
,date,likes,retweets,tweet,tweet_id
0,2020-08-15 10:30:00,34651.0,5647.0,"With God, nothing is lost! In Mary, the goal has been reached and we have before our eyes the reasons why we journey: not to gain the things here below, which are fleeting, but the homeland above, which is for ever.",1294582103158530048
1,2020-09-01 11:00:00,14774.0,2552.0,"A #JubileeForTheEarth is a time to return to God, our loving Creator. We cannot live in harmony with creation if we are not at peace with the Creator who is the source and origin of all things.",1300750247661109249
2,2020-08-04 14:45:00,8786.0,1841.0,https://t.co/jA6ek4I1KO,1290660009534033920
3,2020-09-03 11:30:00,22826.0,3865.0,"Today we hear the voice of creation admonishing us to return to our rightful place in the natural created order – to remember that we are part of this interconnected web of life, not its masters. #SeasonOfCreation",1301482572191588352
4,2020-09-01 09:30:00,16287.0,2874.0,Today marks the World Day of Prayer for the Care of Creation. From now until October 4th we will celebrate the #JubileeForTheEarth with our Christian brothers and sisters of various Churches and traditions. #SeasonOfCreation,1300727598994001926
5,2020-08-13 11:30:00,46564.0,8703.0,"When we pray, God expects that we also be mindful of those who do not think as we do, those who have slammed the door in our face, those whom we find it hard to forgive. Only prayer unlocks chains, only prayer paves the way to unity.",1293872426867142657
6,2020-09-02 10:30:00,29887.0,5717.0,"The current pandemic has highlighted our interdependence: we are all linked to each other, for better or for worse. Therefore, to come out of this crisis better than before, we have to do so together, all of us, in solidarity. #GeneralAudience",1301105086320517120
7,2020-08-22 12:30:00,103487.0,21675.0,"God does not love you because you behave well. He loves you, plain and simple. His love is unconditional; it does not depend on you.",1297149017776955393
8,2020-08-30 10:30:00,19898.0,3134.0,"For Peter and the other disciples – but for us too! - the cross is a 'hindrance', whereas Jesus considers the 'hindrance' escaping the cross, which would mean avoiding the Father's will, the mission that the Father has entrusted to Him for our salvation. #GospelOfTheDay",1300017921960411138
9,2020-08-11 11:30:00,37608.0,6022.0,"God does not choose us because of our “goodness”, but precisely because we are and we feel small.",1293147651152773120
10,2020-09-04 07:06:02,10074.0,1753.0,https://t.co/fXEUjNS03k,1301778531609915393
11,2020-08-06 11:00:00,25220.0,4611.0,"On the 75th anniversary of the atomic explosion at Hiroshima, let us remember that resources used in the arms race could and should be used instead to promote integral human development and to protect the natural environment. #Hiroshima75",1291328163084042240
12,2020-09-04 11:30:00,20135.0,3318.0,"During this #SeasonOfCreation, may we be attentive to the rhythms of creation. The world was made to communicate the glory of God, to help us to discover the Lord of all in its beauty, and to return to Him.",1301844962200309760
13,2020-09-01 11:30:00,6802.0,1222.0,A #JubileeForTheEarth is a time to restore the original harmony of creation and to heal strained human relationships. #SeasonOfCreation https://t.co/vEtfVqy8tP,1300757796619563008
14,2020-09-06 10:30:00,22239.0,3761.0,At times it takes greater love to rehabilitate a brother or sister. In the #GospelOfTheDay (Mt 18:15-20) Jesus invites us to put them in God's hands: only the Father can show a greater love than that of all brothers and sisters put together.,1302554636243537924
15,2020-09-02 11:30:00,16624.0,2902.0,"As a human family we have our common origin in God. We dwell in a common home, the garden-planet where God placed us. But when we forget all this, our social fabric is weakened and the environment deteriorates. #GeneralAudience",1301120184221138944
16,2020-08-05 11:30:00,18149.0,2689.0,"In the next few weeks, I invite you to tackle together the pressing questions that the pandemic has brought to the fore, social ills above all. And we will do it in the light of the Gospel, of the theological virtues and of the principles of the Church’s social doctrine.",1290973323942195202
17,2020-08-28 11:30:00,42070.0,7415.0,"Trust in the Lord and make an effort to enter into his plans, accepting that His salvation can reach us in ways that may be different from what we expect.",1299308246948143107
18,2020-08-29 11:30:00,22355.0,3539.0,"Putting the paschal mystery at the center of our lives means feeling compassion towards the wounds of the crucified Christ present in the many innocent victims of wars and violence, in attacks on life, in environmental disasters, and in poverty.",1299670632808947712
19,2020-08-20 11:30:00,44669.0,7347.0,May the Holy Spirit make us grow constantly in knowledge of God so that we might spread His love and His truth in the world.,1296409143562006529
20,2020-08-18 11:30:00,40938.0,8197.0,"Wealth can force us to build walls. Jesus, instead, invites His disciples to transform goods and riches into relationships, because people are worth more than things, they are more valuable than any riches we possess.",1295684366207655943
21,2020-08-31 11:30:00,21009.0,2926.0,I follow with concern the tensions in the Eastern Mediterranean area and I appeal for constructive dialogue and respect for international law to resolve the conflicts that threaten the peace of the peoples of that region.,1300395410641612801
22,2020-08-24 12:30:00,17666.0,2576.0,Today is the tenth anniversary of the massacre of 72 migrants in Mexico. I express my solidarity with the families of the victims who today are still asking for truth and justice. The Lord will hold us to account for all of the migrants who have fallen on their journey of Hope.,1297873794770624513
23,2020-08-19 11:30:00,32967.0,6377.0,"The response to the pandemic is dual: we need to find a cure for this small which has brought the whole world to its knees and we must cure a larger virus, that of social injustice. #GeneralAudience",1296046754031443969
24,2020-08-23 10:30:00,21067.0,3648.0,"In the #GospelOfTheDay, we hear Jesus’s question directed to each one of us: “And you, who do you say I am?”. It is a question of giving not a theoretical answer, but one that involves faith, that is, life, because faith is life!",1297481206125285377
25,2020-08-16 11:00:00,22280.0,3535.0,"If we present our poverty to the Lord, with an existence marked by tears and suffering, but with the tenacious faith of the Canaanite woman (see Mt 15:21-28) then the Lord cannot but welcome our prayer with His paternal eyes and heart. #GospelOfTheDay",1294952042201522176
